Hash,Paths,NS,ND,NF,Entropy,FIX
2a5d8de847971f7b5476ad6026fcbfcb68813354,"[Bugzilla/User.pm, CGI.pl, defparams.pl, editusers.cgi, globals.pl, skins/standard/admin.css, skins/standard/editusers.css, template/en/default/admin/groups/delete.html.tmpl, template/en/default/admin/users/confirm-delete.html.tmpl, template/en/default/admin/users/create.html.tmpl, template/en/default/admin/users/edit.html.tmpl, template/en/default/admin/users/list.html.tmpl, template/en/default/admin/users/listselectvars.html.tmpl, template/en/default/admin/users/search.html.tmpl, template/en/default/admin/users/userdata.html.tmpl, template/en/default/filterexceptions.pl, template/en/default/global/code-error.html.tmpl, template/en/default/global/messages.html.tmpl, template/en/default/global/user-error.html.tmpl]",4,7,19,2.38446191070742,1,0
62383feb65362bffbfd660e0ba8fe616d213b405,[Bugzilla/Constants.pm],1,1,1,0.0,1,0
0e8f16e1c64b07cf6d90264f8f754307d340b30e,"[Bugzilla/DB.pm, Bugzilla/DB/Mysql.pm, Bugzilla/DB/Pg.pm, Bugzilla/Search.pm, checksetup.pl]",2,3,5,1.6952530101922159,1,0
d10ad549311736e9e57454f043c346b459b78a6c,[editvalues.cgi],1,1,1,0.0,1,0
e50242c1fbcd771a70d3d0c5fc1b487b27b9825d,[docs/xml/faq.xml],1,1,1,0.0,1,0
70486766bd51504b7e96a8a3cf726f31d3a77f78,[editflagtypes.cgi],1,1,1,0.0,1,0
943f4fe3c1b224926fdfdb91db55cdbc1528e196,[template/en/default/global/user-error.html.tmpl],1,1,1,0.0,1,0
7cb62ca9a2742e10334cba6bf965a5c0d8ad40ba,"[Bugzilla/Search.pm, Bugzilla/Token.pm, contrib/sendunsentbugmail.pl, sanitycheck.cgi, whine.pl]",3,3,5,1.3789835946950653,1,0
494f0e59486cbabfd02aa9a8f410f4e00861f62b,[template/en/default/global/header.html.tmpl],1,1,1,0.0,1,0
e482e18f87471467747a19918b9d088a41bd3091,"[Bugzilla/DB.pm, checksetup.pl]",2,2,2,0.9148210087144519,1,0
e4b8b770b0229a0761a3ef5116c7fcad4e5352d5,[editclassifications.cgi],1,1,1,0.0,1,0
8b47184604eb5868736e0a2a8ae894f6feceaa95,[checksetup.pl],1,1,1,0.0,1,0
5f042e841a435995e62f0cc8e8c4e9bd9f2c9c15,"[Bugzilla/Bug.pm, CGI.pl, attachment.cgi]",2,2,3,1.168799722641038,1,0
d0d2e9fddc55b47bc9df5f5d60acac9f86d13183,"[Bugzilla.pm, Bugzilla/User.pm]",2,2,2,1.0,1,0
148bdbba7bb43c4cab051c2065c726f4f8c335db,[editusers.cgi],1,1,1,0.0,1,0
ec610fd673feb6d6e18d121b5e67aa3f87e7f4ea,"[Bugzilla/Auth/Login/WWW/CGI.pm, Bugzilla/Bug.pm, Bugzilla/Error.pm, CGI.pl, editclassifications.cgi, editcomponents.cgi, editmilestones.cgi, editusers.cgi, editversions.cgi, globals.pl, post_bug.cgi, process_bug.cgi]",2,3,12,3.213958872860689,1,0
0c1b77e123dbafb96168fe6affd6373b9aa081fe,"[Bugzilla/DB.pm, Bugzilla/DB/Mysql.pm, Bugzilla/Search.pm, Bugzilla/User.pm, checksetup.pl]",2,3,5,2.206622962250323,1,0
53cb9510fc237e96bd89249e86d7ebe92c5a71fc,"[checksetup.pl, defparams.pl]",1,1,2,0.6500224216483541,1,0
3f4abbd8d47883c52cdbd25ce308fe7d638f25ce,[Bugzilla/DB.pm],1,1,1,0.0,1,0
0df76bb73976409345e1edc011844af8d99a7a47,"[Bugzilla/User.pm, defparams.pl, editusers.cgi, template/en/default/admin/users/confirm-delete.html.tmpl]",3,3,4,1.1457657044827452,1,0
