Hash,File,LA,LD,LT,isAdded,isRemoved
871de5e2dbb48867b08371ce90881d8f85b18ff1,Bugzilla/Error.pm,3,18,260,0,0
871de5e2dbb48867b08371ce90881d8f85b18ff1,Bugzilla/WebService/Server/JSONRPC.pm,6,0,634,0,0
82ad1c2cf64c016764d5843a5eb9fa8a22c56e37,taskgraph.json,12,12,221,0,0
871de5e2dbb48867b08371ce90881d8f85b18ff1,email_in.pl,1,1,675,0,0
b33684a1b5b74c6b2a7cd4c79ab8e944d31ffad7,taskgraph.json,6,0,227,0,0
981cd0404a2a3a0a8a320c1709151b18075a3655,Bugzilla/Error.pm,0,1,259,0,0
981cd0404a2a3a0a8a320c1709151b18075a3655,t/001compile.t,1,0,96,0,0
bb909eae7218de25805d80a442c6c59e89760df9,template/en/default/account/auth/login-small.html.tmpl,25,23,82,0,0
b2e1ec0d36d047dfe59fe429712c2f61be451037,taskgraph.json,6,0,227,0,0
c664718ef5e857144479859546d998f1465b830b,Bugzilla/Component.pm,3,4,665,0,0
c664718ef5e857144479859546d998f1465b830b,Bugzilla/Milestone.pm,1,1,393,0,0
c664718ef5e857144479859546d998f1465b830b,Bugzilla/Version.pm,1,1,366,0,0
55f7bb28f04b915a2b8129d1e86e574dc333362a,Bugzilla/Install/Filesystem.pm,4,0,1095,0,0
a8adffb5ba7161a9ac491cca98d880577c1ab2fc,template/en/default/global/header.html.tmpl,2,1,328,0,0
6f70920f2d2bb038a371e3cb3debff44f7001fa8,Dockerfile,4,1,76,0,0
6f70920f2d2bb038a371e3cb3debff44f7001fa8,Makefile.PL,6,1,259,0,0
6f70920f2d2bb038a371e3cb3debff44f7001fa8,docker_files/install_deps.sh,4,11,27,0,0
6f70920f2d2bb038a371e3cb3debff44f7001fa8,docker_files/rpm_list,6,17,24,0,0
6f70920f2d2bb038a371e3cb3debff44f7001fa8,docker_files/runtests.sh,3,2,113,0,0
9343e3ad73291a7a0f0cb890335523298cec68a5,Bugzilla/Install/Filesystem.pm,1,0,1096,0,0
1969f955c4fc89c4d5a1e955f9bf28fef133efa3,Bugzilla/Install/Filesystem.pm,1,1,1095,0,0
1969f955c4fc89c4d5a1e955f9bf28fef133efa3,gen-cpanfile.pl,0,0,69,0,0
5c7b05750982bca4528c5acde579012f7ccf9120,Bugzilla/Config.pm,4,13,397,0,0
438d57d65626d068ca0f28de46410ebecc9a9b57,Bugzilla.pm,5,27,1139,0,0
b0ec2f04693289758c1c171b754f7f0d1a3117f7,docs/en/rst/installing/iis.rst,2,1,131,0,0
2c33712dc066463ab9741a009e56d9a5c2ffedf6,.gitignore,5,0,23,0,0
2c33712dc066463ab9741a009e56d9a5c2ffedf6,Bugzilla.pm,62,24,1161,0,0
2c33712dc066463ab9741a009e56d9a5c2ffedf6,Bugzilla/API/1_0/Server.pm,1,1,472,0,0
2c33712dc066463ab9741a009e56d9a5c2ffedf6,Bugzilla/Constants.pm,5,35,711,0,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,docker_files/runtests.sh,9,24,98,0,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,t/Support/Files.pm,1,1,58,0,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/README,0,0,1,0,1
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/config/checksetup_answers.txt,25,0,26,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/config/generate_test_data.pl,616,0,617,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/config/patch.diff,17,0,19,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/config/selenium_test.conf,46,0,47,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/extensions/QA/Config.pm,22,0,23,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/extensions/QA/Extension.pm,74,0,75,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/extensions/QA/lib/Util.pm,28,0,29,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/extensions/QA/template/en/default/hook/README,5,0,6,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/extensions/QA/template/en/default/pages/qa/email_in.html.tmpl,7,0,8,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/extensions/QA/template/en/default/qa/README,16,0,17,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/extensions/QA/template/en/default/qa/create_bug.txt.tmpl,17,0,18,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/extensions/QA/template/en/default/qa/create_bug_with_headers.txt.tmpl,33,0,34,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/extensions/QA/template/en/default/qa/results.html.tmpl,28,0,29,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/extensions/QA/template/en/default/qa/update_bug.txt.tmpl,13,0,14,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/extensions/QA/template/en/default/qa/update_bug_with_headers.txt.tmpl,29,0,30,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/extensions/QA/web/README,7,0,7,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/lib/Bugzilla/Test/Search.pm,0,0,1,0,1
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/lib/Bugzilla/Test/Search/AndTest.pm,0,0,1,0,1
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/lib/Bugzilla/Test/Search/Constants.pm,0,0,1,0,1
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/lib/Bugzilla/Test/Search/CustomTest.pm,0,0,1,0,1
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/lib/Bugzilla/Test/Search/FieldTest.pm,0,0,1,0,1
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/lib/Bugzilla/Test/Search/FieldTestNormal.pm,0,0,1,0,1
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/lib/Bugzilla/Test/Search/InjectionTest.pm,0,0,1,0,1
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/lib/Bugzilla/Test/Search/NotTest.pm,0,0,1,0,1
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/lib/Bugzilla/Test/Search/OperatorTest.pm,0,0,1,0,1
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/lib/Bugzilla/Test/Search/OrTest.pm,0,0,1,0,1
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/lib/QA/REST.pm,65,0,66,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/lib/QA/RPC.pm,289,0,290,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/lib/QA/RPC/JSONRPC.pm,174,0,175,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/lib/QA/RPC/XMLRPC.pm,26,0,27,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/lib/QA/Tests.pm,115,0,116,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/lib/QA/Util.pm,372,0,373,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/rest/bugzilla.t,60,0,61,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/rest/classification.t,61,0,62,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/search.t,0,0,1,0,1
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/bug_edit.t,441,0,442,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/choose_priority.t,30,0,31,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/classifications.t,142,0,143,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/config.t,48,0,49,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/create_user_accounts.t,139,0,140,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/custom_fields.t,462,0,463,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/custom_fields_admin.t,56,0,57,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/dependencies.t,56,0,57,1,0
